aboriginal				բնիկ, անդրենածին
accelerator				արագացուցիչ
accessibility			հասանելիութիւն
access					հասանելիութիւն
account					հաշիւ
action					գործողութիւն
active directory		գործուն գրացուցակներ
active object			գործուն օբյեկտ
add-on					հաւելում
adjustment				կարգաբերում
administrator			վարիչ
alias					այլանուն
align					հաւասարեցնել
allocate				յատկացնել
application				ծրագիր, կիրառութիւն, յաւելուած
archive					արխիւ, տոմսածրար, գործ
arrow					սլաք
attachment				կցորդ, կցորդում
authentication			վաւերացում
authorization			նոյնականացում
automatically save		ինքնաշխատօրէն պահել
automatically			ինքնաշխատօրէն
axiome				հենասոյթ
background				հենք, ֆոն, ետնապատկեր, ետնանկար
backup					պահուստաւորում
banner					ցուցատախտակ, կայքավահանակ, ժապաւէն, ազդաժապաւէն, ծանուցում
bar						երիզ
battery					մարտկոց
binary					երկուական
biometric			կենսաչափական
biometry			կենսաչափութիւն
board					տպասալ
bold				թաւ, թաւատառ
bookmark				էջանիշ, էջանշել
boot					մեկնարկ
border					սահմանագիծ
breakpoint				տողանցման/ընդհատման կէտ
browser					զննիչ, ցանցախոյզ
brute-force search	յատարկում
built-in				ներկառուցուած
cancel					չեղարկել
canvas					կտաւ
capitalism				կապիտալիզմ, դրամատիրութիւն
category				կատեգորիա
cellular phone			բջջային, անթել, ազատ հեռախօս, ձեռքի հեռախօս
cellular				բջջային
certificate				վկայագիր
character				նիշ
cinema					սինեմա, կինեմա
click					կտոց, կտիկ
client					հաճախորդ
clone					կրկնօրինակ
close					փակել
cloud computing			ամպային լուծումներ
code					կոդ, այլագիր
column					սիւն
command					հրահանգ
communication			հաղորդակցութիւն
compatibility			համատեղելիութիւն
compiler				կոմպիլյատոր
component				բաղադրիչ
computer			կարգիչ, համակարգիչ, բանակարգիչ
concept				յղանցք
conditional				պայմանական
condition				պայման
configuration			կոնֆիգուրացիա, կազմաձեւ
connect					կապուել, կպնել, միանալ
container				կոնտեյներ
constant				հաստատուն
content					բովանդակութիւն
converter				փոխարկիչ
convert					փոխարկել
copy				պատճէն, պատճէնել
copyright			պատճէնաշնորհ
core					միջուկ
coverage				ծածկոյթ
credentials				հաւատարմագրեր
credential				հաւատարմագիր
current					ընթացիկ
cursor					նշիչ, նշորդ
cut						կտրել, հատել
data					տուեալ, տուեալներ
database				տուեալների շտեմարան, տուեալների հենք
debug					վրիպազերծում, վրիպազերծել
declaration				յայտարարում
declared range			յայտարարուած միջակայք
default					լռելեայն
define					սահմանել
definition				սահմանում
delete					ջնջել
description				նկարագրութիւն
desktop					աշխատասեղան, սեղանակ
device					սարք, սարքաւորում
dialog box				զրուցատուփ
digital					թուանշային
digitization			թուայնացում
digit					թուանիշ
dimension				չափ
directory			պանակ, գրացուցակ, դիրեկտորիա
disc					սկաւառաւ, պնակ
discussion thread		քննարկաշար
display					ցուցադրիչ, ցուցադրել
distribution			տարածոյ
domain controller		տիրոյթի հսկիչ
domain					տիրոյթ
double click			կրկնակտոց, կրկնակտիկ
drop-down				իջնորդ
e-ink reader			ընթերցիչ
e-mail				ուղերձ, էլ֊փոստ, իմակ
edit					խմբագրել
editor					խմբագրիչ
element					էլեմենտ, տարր
embed					ներդնել
emulation				նմանակում
encoding				կոդաւորում
endnote					ծանօթագրութիւն
engine					շարժիչ
engineer				ճարտարագէտ, ինժեներ
engine					շարժիչ
environment			միջավայր
escape					լքել, լքում
export					արտածել
extension				հաւելում
extranet				արտացանց
failure					ձախողում
feed					հոսք
file				նիշք
flash drive			կրիչ, յիշասարք
flip book				սահատետր
folder list			պանակների ցուցակ
folder pane			պանակի փեղկ
folder				պանակ
font					տառատեսակ, տառաղբիւր
footer					էջատակ
forward					վերառաքում
free software			ազատ ծա, ազատ ծրագրային ապահովում, ազատ ծրագրաշար 
gateway					անցախուց
gradient				սահանցում
guestbook				այցեգիրք
hardware				սարքաշար, կարծրամաս
header file				բովանդակային նիշք
header					էջագլուխ
high definition			բարձր հստակութիւն
highlight				լուսաշեշտել, լուսանշել, գունանշել
hint					յուշում, ակնարկ
homepage				տնէջ
